canonical_issue_id,canonical_topic,priority,source_issue_count,source_issue_ids,statuses,question_summary,evidence_summary,required_actions,blocks,resolution_status,resolved_by,resolution_evidence,resolution_decision,external_truth_status,last_updated_utc
ISSUE-FINANCIAL-001,financial_reconciliation,MEDIUM,2,OPEN-008;AUD03-017,OPEN,Qual a semântica dos pedidos com diferença relevante entre pagamentos e preço+frete? | Revisar a distribuição de payment_delta antes de qualquer correção ou exclusão.,Auditoria anterior encontrou pequena quantidade de exceções. | Imported from Auditoria 03 pending decisions.,Inspecionar sem alterar valores RAW. | Review before final treatment.,data treatment plan;financial treatment decision,OPEN,,,,,2026-08-30T10:58:09.697102+00:00
ISSUE-GEO-001,geolocation_consolidation,MEDIUM,2,OPEN-007;AUD03-018,OPEN,Como consolidar CEPs com observações em múltiplos estados ou grande dispersão? | Inspecionar CEPs com vários estados/cidades ou grande dispersão antes da consolidação definitiva.,Gate 02 encontrou 8 prefixos associados a múltiplos estados. | Imported from Auditoria 03 pending decisions.,Inspecionar exceções antes da consolidação definitiva. | Review before final treatment.,data treatment plan;geographic reference table,OPEN,,,,,2026-08-30T10:58:09.697102+00:00
ISSUE-GROUND-TRUTH-001,external_ground_truth,HIGH,1,OPEN-004,OPEN_LIMITATION,É possível validar datas/valores contra sistemas operacionais originais da Olist?,Dataset público não fornece acesso ao sistema transacional fonte.,Documentar limite: internal consistency != external ground truth.,external factual verification,OPEN_LIMITATION,,,,NOT_AVAILABLE,2026-08-30T10:58:09.697102+00:00
ISSUE-IMPUTATION-001,numeric_imputation_policy,MEDIUM,1,AUD03-014,OPEN,Método e estatísticas somente depois do split. Fit apenas no conjunto de treino.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,OPEN,,,,,2026-08-30T10:58:09.697102+00:00
ISSUE-MISSINGNESS-001,conditional_and_task_missingness,HIGH,1,OPEN-003,OPEN,Qual a completude dos atributos condicionada à existência da entidade relacionada?,Gate 03 mistura relationship missingness e attribute missingness em alguns perfis mensais.,Executar DQ Gate 03B Conditional & Task Completeness.,final completeness assessment,RESOLVED_ASSESSMENT,DQ_GATE_03B,"DQ Gate 03B PASS; relation missingness, attribute missingness, source quality and task quality quantified separately.",Assessment closed. Residual missingness continues to treatment-policy stage.,,2026-08-30T10:58:09.697102+00:00
ISSUE-MULTI-SELLER-001,multi_seller_representation,MEDIUM,2,OPEN-006;AUD03-016,OPEN,Como representar pedidos contendo múltiplos sellers? | Definir regra definitiva para sellers e distâncias quando um pedido possui vários sellers.,Dataset permite mais de um seller por pedido. | Imported from Auditoria 03 pending decisions.,Comparar agregações min/mean/max/count e regra operacional. | Review before final treatment.,data treatment plan;order-level feature aggregation,OPEN,,,,,2026-08-30T10:58:09.697102+00:00
ISSUE-NUMERIC-TRANSFORMATION-001,numeric_transformation_policy,MEDIUM,1,AUD03-013,OPEN,"Log, clipping ou winsorization somente após EDA. Se adotados, parâmetros serão ajustados somente no treino.",Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,OPEN,,,,,2026-08-30T10:58:09.697102+00:00
ISSUE-OBSERVATION-WINDOW-001,label_observation_window,HIGH,1,OPEN-009,OPEN,Como representar setembro/outubro de 2018 na população supervisionada?,Os últimos meses têm ausência de outcomes entregues observáveis.,Tratar como janela não madura/censura potencial; não converter ausência de label em on-time.,final supervised cohort,RESOLVED_POLICY,DQ_GATE_04,Observation-window audit completed; unobserved outcomes were separated from observed deliveries.,Unobserved outcomes must not be encoded as on-time.,,2026-08-30T10:58:09.697102+00:00
ISSUE-OUTLIERS-001,extreme_value_policy,MEDIUM,1,AUD03-012,OPEN,Investigar extremos plausíveis e suspeitos. Nenhuma exclusão automática.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,OPEN,,,,,2026-08-30T10:58:09.697102+00:00
ISSUE-PAYMENT-AVAILABILITY-001,payment_point_in_time_availability,MEDIUM,1,OPEN-010,OPEN,payment_type/value/installments são operacionalmente disponíveis no exato t0 definido como purchase_timestamp?,"São informações de checkout/pagamento, mas availability time não é explicitamente fornecido.",Manter como candidate e documentar hipótese.,baseline feature contract,OPEN,,,,,2026-08-30T10:58:09.697102+00:00
