table,column,column_key,point_in_time_status,feature_module,direct_model_feature,aggregation_policy,rationale,unresolved_issue
customers,customer_id,customers.customer_id,JOIN_KEY_ONLY,GEOGRAPHY,False,JOIN_ONLY,Order-specific customer lookup key.,
customers,customer_unique_id,customers.customer_unique_id,IDENTIFIER_ONLY,NONE,False,NONE,Stable customer identity is preserved for lineage but not admitted as raw high-cardinality model feature.,
customers,customer_zip_code_prefix,customers.customer_zip_code_prefix,SAFE_CONTEXT_AT_T0,GEOGRAPHY,True,ORDER_REFERENCE_JOIN,Customer destination context associated with the current order.,
customers,customer_city,customers.customer_city,SAFE_CONTEXT_AT_T0,GEOGRAPHY,True,ORDER_REFERENCE_JOIN,Customer destination context associated with the current order.,
customers,customer_state,customers.customer_state,SAFE_CONTEXT_AT_T0,GEOGRAPHY,True,ORDER_REFERENCE_JOIN,Customer destination context associated with the current order.,
geolocation,geolocation_zip_code_prefix,geolocation.geolocation_zip_code_prefix,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_lat,geolocation.geolocation_lat,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_lng,geolocation.geolocation_lng,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_city,geolocation.geolocation_city,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
geolocation,geolocation_state,geolocation.geolocation_state,HOLD_DATA_QUALITY,GEOGRAPHY,False,ZIP_LEVEL_CONSOLIDATION_REQUIRED,"Geographic reference is static, but duplicated/dispersed ZIP observations require a documented consolidation rule first.",ISSUE-GEO-001
order_items,order_id,order_items.order_id,JOIN_KEY_ONLY,ORDER,False,JOIN_ONLY,Child-table key used to aggregate order_items to order grain.,
