table,column,entity,event_stage,available_at_t0,availability_confidence,allowed_as_baseline_feature,allowed_as_target_source,leakage_risk,project_prediction_time,known_at_purchase,known_at_approval,known_at_shipping,known_at_delivery,point_in_time_rule
customers,customer_id,customer_order_identity,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
customers,customer_unique_id,customer_order_identity,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
customers,customer_zip_code_prefix,customer_order_identity,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
customers,customer_city,customer_order_identity,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
customers,customer_state,customer_order_identity,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
geolocation,geolocation_zip_code_prefix,zip_geolocation_observation,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
geolocation,geolocation_lat,zip_geolocation_observation,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
geolocation,geolocation_lng,zip_geolocation_observation,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
geolocation,geolocation_city,zip_geolocation_observation,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
geolocation,geolocation_state,zip_geolocation_observation,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,order_purchase_timestamp,LIKELY_YES,YES_OR_LIKELY,YES_OR_LIKELY,LIKELY_OR_YES,VERIFY_AVAILABILITY_BEFORE_FEATURE_USE
