question_id,topic,status,priority,question,current_evidence,required_action,blocks
OPEN-001,target_semantics,OPEN,CRITICAL,A promessa deve ser avaliada por timestamp exato ou por dia-calendário?,"1,292 pedidos mudam de classe entre as duas definições.",Formalizar Label Contract e análise de sensibilidade.,final label definition
OPEN-002,shipping_limit_date_provenance,OPEN,HIGH,shipping_limit_date era conhecido exatamente no instante da compra?,"Campo existe no RAW, mas disponibilidade em t0 não foi provada.",Manter fora do baseline até confirmação.,feature eligibility
OPEN-003,conditional_missingness,OPEN,HIGH,Qual a completude dos atributos condicionada à existência da entidade relacionada?,Gate 03 mistura relationship missingness e attribute missingness em alguns perfis mensais.,Executar DQ Gate 03B Conditional & Task Completeness.,final completeness assessment
OPEN-004,external_ground_truth,OPEN_LIMITATION,HIGH,É possível validar datas/valores contra sistemas operacionais originais da Olist?,Dataset público não fornece acesso ao sistema transacional fonte.,Documentar limite: internal consistency != external ground truth.,external factual verification
OPEN-005,seller_history,OPEN,HIGH,Como construir seller history sem conhecer outcomes futuros?,Compra anterior não implica label anterior já disponível.,Usar somente eventos cujo outcome estava observável antes do pedido atual; definir smoothing.,seller historical features
OPEN-006,multi_seller,OPEN,MEDIUM,Como representar pedidos contendo múltiplos sellers?,Dataset permite mais de um seller por pedido.,Comparar agregações min/mean/max/count e regra operacional.,order-level feature aggregation
OPEN-007,geolocation,OPEN,MEDIUM,Como consolidar CEPs com observações em múltiplos estados ou grande dispersão?,Gate 02 encontrou 8 prefixos associados a múltiplos estados.,Inspecionar exceções antes da consolidação definitiva.,geographic reference table
OPEN-008,financial_reconciliation,OPEN,MEDIUM,Qual a semântica dos pedidos com diferença relevante entre pagamentos e preço+frete?,Auditoria anterior encontrou pequena quantidade de exceções.,Inspecionar sem alterar valores RAW.,financial treatment decision
OPEN-009,observation_window,OPEN,HIGH,Como representar setembro/outubro de 2018 na população supervisionada?,Os últimos meses têm ausência de outcomes entregues observáveis.,Tratar como janela não madura/censura potencial; não converter ausência de label em on-time.,final supervised cohort
OPEN-010,payment_availability,OPEN,MEDIUM,payment_type/value/installments são operacionalmente disponíveis no exato t0 definido como purchase_timestamp?,"São informações de checkout/pagamento, mas availability time não é explicitamente fornecido.",Manter como candidate e documentar hipótese.,baseline feature contract
AUD03-011,target_definition,OPEN,MEDIUM,Comparar timestamp_strict versus calendar_date e decidir a semântica correta da promessa.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
AUD03-012,outliers,OPEN,MEDIUM,Investigar extremos plausíveis e suspeitos. Nenhuma exclusão automática.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
AUD03-013,numeric_transformations,OPEN,MEDIUM,"Log, clipping ou winsorization somente após EDA. Se adotados, parâmetros serão ajustados somente no treino.",Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
AUD03-014,numeric_imputation,OPEN,MEDIUM,Método e estatísticas somente depois do split. Fit apenas no conjunto de treino.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
AUD03-015,shipping_limit_date,OPEN,MEDIUM,Confirmar se a informação existia no instante t0 antes de liberar como feature.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
AUD03-016,multi_seller_orders,OPEN,MEDIUM,Definir regra definitiva para sellers e distâncias quando um pedido possui vários sellers.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
AUD03-017,payment_inconsistencies,OPEN,MEDIUM,Revisar a distribuição de payment_delta antes de qualquer correção ou exclusão.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
AUD03-018,geolocation_spread,OPEN,MEDIUM,Inspecionar CEPs com vários estados/cidades ou grande dispersão antes da consolidação definitiva.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan
