table,column,column_key,point_in_time_status,feature_module,direct_model_feature,aggregation_policy,rationale,unresolved_issue
reviews,review_id,reviews.review_id,FORBIDDEN_FUTURE,POST_DELIVERY_NLP,False,IDENTIFIER_OR_JOIN_ONLY,Review data belongs to post-purchase/post-delivery context and is forbidden in the preventive t0 model.,
reviews,order_id,reviews.order_id,FORBIDDEN_FUTURE,POST_DELIVERY_NLP,False,IDENTIFIER_OR_JOIN_ONLY,Review data belongs to post-purchase/post-delivery context and is forbidden in the preventive t0 model.,
reviews,review_score,reviews.review_score,FORBIDDEN_FUTURE,POST_DELIVERY_NLP,False,NONE,Review data belongs to post-purchase/post-delivery context and is forbidden in the preventive t0 model.,
reviews,review_comment_title,reviews.review_comment_title,FORBIDDEN_FUTURE,POST_DELIVERY_NLP,False,NONE,Review data belongs to post-purchase/post-delivery context and is forbidden in the preventive t0 model.,
reviews,review_comment_message,reviews.review_comment_message,FORBIDDEN_FUTURE,POST_DELIVERY_NLP,False,NONE,Review data belongs to post-purchase/post-delivery context and is forbidden in the preventive t0 model.,
reviews,review_creation_date,reviews.review_creation_date,FORBIDDEN_FUTURE,POST_DELIVERY_NLP,False,NONE,Review data belongs to post-purchase/post-delivery context and is forbidden in the preventive t0 model.,
reviews,review_answer_timestamp,reviews.review_answer_timestamp,FORBIDDEN_FUTURE,POST_DELIVERY_NLP,False,NONE,Review data belongs to post-purchase/post-delivery context and is forbidden in the preventive t0 model.,
orders,order_status,orders.order_status,FORBIDDEN_FUTURE,FORBIDDEN,False,NONE,Raw dataset contains final/later order state. Using it at purchase time would leak post-t0 information.,
orders,order_approved_at,orders.order_approved_at,FORBIDDEN_FUTURE,FORBIDDEN,False,NONE,Approval is a post-purchase process event.,
orders,order_delivered_carrier_date,orders.order_delivered_carrier_date,FORBIDDEN_FUTURE,FORBIDDEN,False,NONE,Carrier handoff occurs after purchase.,
orders,order_delivered_customer_date,orders.order_delivered_customer_date,TARGET_ONLY,TARGET,False,LABEL_ONLY,Observed customer delivery is part of target construction.,
