dataset,table,column,entity,description_pt,description_status,source_evidence,meaning_evidence,external_ground_truth,event_stage,available_at_t0,availability_confidence,allowed_as_baseline_feature,allowed_as_target_source,leakage_risk,applicability_condition,missing_reason_policy,key_role,foreign_key_target,aliases_pt,aliases_en,research_terms,source_file,source_system,external_system_crosscheck,project_prediction_time
olistbr/brazilian-ecommerce,customers,customer_id,customer_order_identity,Identificador de cliente específico do pedido.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E4_OFFICIAL_DATASET_DESCRIPTION,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,row/entity exists,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,PRIMARY_KEY_COMPONENT,,customer id,customer id,,olist_customers_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,customers,customer_unique_id,customer_order_identity,Identificador utilizado para reconhecer o mesmo cliente em compras diferentes.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E4_OFFICIAL_DATASET_DESCRIPTION,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,NO_RAW_IDENTIFIER,NO,LOW_TO_REVIEW,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,NONE,,customer unique id,customer unique id,,olist_customers_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,customers,customer_zip_code_prefix,customer_order_identity,Prefixo do CEP do endereço do cliente.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,NONE,,customer zip code prefix,customer zip code prefix,,olist_customers_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,customers,customer_city,customer_order_identity,Cidade associada ao endereço do cliente.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,NONE,,customer city,customer city,,olist_customers_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,customers,customer_state,customer_order_identity,UF associada ao endereço do cliente.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,customer_id resolves to customers,distinguish RELATION_MISSING from ATTRIBUTE_MISSING,NONE,,customer state,customer state,,olist_customers_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,geolocation,geolocation_zip_code_prefix,zip_geolocation_observation,Prefixo de CEP associado à observação geográfica.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,NONE,,geolocation zip code prefix,geolocation zip code prefix,,olist_geolocation_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,geolocation,geolocation_lat,zip_geolocation_observation,Latitude associada à observação geográfica.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,NONE,,latitude; localização,latitude; geolocation,geospatial features; delivery distance; logistics distance,olist_geolocation_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,geolocation,geolocation_lng,zip_geolocation_observation,Longitude associada à observação geográfica.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,NONE,,longitude; localização,longitude; geolocation,geospatial features; delivery distance; logistics distance,olist_geolocation_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,geolocation,geolocation_city,zip_geolocation_observation,Cidade associada à observação geográfica.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,NONE,,geolocation city,geolocation city,,olist_geolocation_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
olistbr/brazilian-ecommerce,geolocation,geolocation_state,zip_geolocation_observation,UF associada à observação geográfica.,CURATED_PROJECT_REGISTRY,E0_RAW_OBSERVED,E3_SCHEMA_AND_PROJECT_INTERPRETATION_REQUIRES_TRACEABILITY,NOT_AVAILABLE,reference/master data,LIKELY_YES,MEDIUM,YES_CANDIDATE,NO,LOW_TO_REVIEW,ZIP prefix has geolocation observation,OBSERVED or ATTRIBUTE_MISSING,NONE,,geolocation state,geolocation state,,olist_geolocation_dataset.csv,Olist public dataset distributed through Kaggle,NOT_AVAILABLE,order_purchase_timestamp
