question_id,topic,status,priority,question,current_evidence,required_action,blocks,canonical_issue_id,canonical_topic,duplicate_of,source_issue_id
OPEN-001,target_semantics,OPEN,CRITICAL,A promessa deve ser avaliada por timestamp exato ou por dia-calendário?,"1,292 pedidos mudam de classe entre as duas definições.",Formalizar Label Contract e análise de sensibilidade.,final label definition,ISSUE-TARGET-001,label_and_target_semantics,,OPEN-001
OPEN-002,shipping_limit_date_provenance,OPEN,HIGH,shipping_limit_date era conhecido exatamente no instante da compra?,"Campo existe no RAW, mas disponibilidade em t0 não foi provada.",Manter fora do baseline até confirmação.,feature eligibility,ISSUE-SHIPPING-LIMIT-001,shipping_limit_date_provenance,,OPEN-002
OPEN-003,conditional_missingness,OPEN,HIGH,Qual a completude dos atributos condicionada à existência da entidade relacionada?,Gate 03 mistura relationship missingness e attribute missingness em alguns perfis mensais.,Executar DQ Gate 03B Conditional & Task Completeness.,final completeness assessment,ISSUE-MISSINGNESS-001,conditional_and_task_missingness,,OPEN-003
OPEN-004,external_ground_truth,OPEN_LIMITATION,HIGH,É possível validar datas/valores contra sistemas operacionais originais da Olist?,Dataset público não fornece acesso ao sistema transacional fonte.,Documentar limite: internal consistency != external ground truth.,external factual verification,ISSUE-GROUND-TRUTH-001,external_ground_truth,,OPEN-004
OPEN-005,seller_history,OPEN,HIGH,Como construir seller history sem conhecer outcomes futuros?,Compra anterior não implica label anterior já disponível.,Usar somente eventos cujo outcome estava observável antes do pedido atual; definir smoothing.,seller historical features,ISSUE-SELLER-HISTORY-001,seller_point_in_time_history,,OPEN-005
OPEN-006,multi_seller,OPEN,MEDIUM,Como representar pedidos contendo múltiplos sellers?,Dataset permite mais de um seller por pedido.,Comparar agregações min/mean/max/count e regra operacional.,order-level feature aggregation,ISSUE-MULTI-SELLER-001,multi_seller_representation,,OPEN-006
OPEN-007,geolocation,OPEN,MEDIUM,Como consolidar CEPs com observações em múltiplos estados ou grande dispersão?,Gate 02 encontrou 8 prefixos associados a múltiplos estados.,Inspecionar exceções antes da consolidação definitiva.,geographic reference table,ISSUE-GEO-001,geolocation_consolidation,,OPEN-007
OPEN-008,financial_reconciliation,OPEN,MEDIUM,Qual a semântica dos pedidos com diferença relevante entre pagamentos e preço+frete?,Auditoria anterior encontrou pequena quantidade de exceções.,Inspecionar sem alterar valores RAW.,financial treatment decision,ISSUE-FINANCIAL-001,financial_reconciliation,,OPEN-008
OPEN-009,observation_window,OPEN,HIGH,Como representar setembro/outubro de 2018 na população supervisionada?,Os últimos meses têm ausência de outcomes entregues observáveis.,Tratar como janela não madura/censura potencial; não converter ausência de label em on-time.,final supervised cohort,ISSUE-OBSERVATION-WINDOW-001,label_observation_window,,OPEN-009
OPEN-010,payment_availability,OPEN,MEDIUM,payment_type/value/installments são operacionalmente disponíveis no exato t0 definido como purchase_timestamp?,"São informações de checkout/pagamento, mas availability time não é explicitamente fornecido.",Manter como candidate e documentar hipótese.,baseline feature contract,ISSUE-PAYMENT-AVAILABILITY-001,payment_point_in_time_availability,,OPEN-010
AUD03-011,target_definition,OPEN,MEDIUM,Comparar timestamp_strict versus calendar_date e decidir a semântica correta da promessa.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-TARGET-001,label_and_target_semantics,OPEN-001,AUD03-011
AUD03-012,outliers,OPEN,MEDIUM,Investigar extremos plausíveis e suspeitos. Nenhuma exclusão automática.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-OUTLIERS-001,extreme_value_policy,,AUD03-012
AUD03-013,numeric_transformations,OPEN,MEDIUM,"Log, clipping ou winsorization somente após EDA. Se adotados, parâmetros serão ajustados somente no treino.",Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-NUMERIC-TRANSFORMATION-001,numeric_transformation_policy,,AUD03-013
AUD03-014,numeric_imputation,OPEN,MEDIUM,Método e estatísticas somente depois do split. Fit apenas no conjunto de treino.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-IMPUTATION-001,numeric_imputation_policy,,AUD03-014
AUD03-015,shipping_limit_date,OPEN,MEDIUM,Confirmar se a informação existia no instante t0 antes de liberar como feature.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-SHIPPING-LIMIT-001,shipping_limit_date_provenance,OPEN-002,AUD03-015
AUD03-016,multi_seller_orders,OPEN,MEDIUM,Definir regra definitiva para sellers e distâncias quando um pedido possui vários sellers.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-MULTI-SELLER-001,multi_seller_representation,OPEN-006,AUD03-016
AUD03-017,payment_inconsistencies,OPEN,MEDIUM,Revisar a distribuição de payment_delta antes de qualquer correção ou exclusão.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-FINANCIAL-001,financial_reconciliation,OPEN-008,AUD03-017
AUD03-018,geolocation_spread,OPEN,MEDIUM,Inspecionar CEPs com vários estados/cidades ou grande dispersão antes da consolidação definitiva.,Imported from Auditoria 03 pending decisions.,Review before final treatment.,data treatment plan,ISSUE-GEO-001,geolocation_consolidation,OPEN-007,AUD03-018
