gate,check_id,table,dimension,severity,status,observed,expected,details
DQ_GATE_01_STRUCTURAL,STR-001,__dataset__,directory,CRITICAL,PASS,/home/runner/workspace/Delivery_Risk_Intelligence/data/raw/olist,RAW directory exists,
DQ_GATE_01_STRUCTURAL,STR-002,__dataset__,files_presence,CRITICAL,PASS,9,all 9 expected files present,
DQ_GATE_01_STRUCTURAL,STR-003,__dataset__,file_count,CRITICAL,PASS,9,9,
DQ_GATE_01_STRUCTURAL,STR-004,__dataset__,unexpected_files,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,customers-READ,customers,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,customers-ROWS,customers,non_empty,CRITICAL,PASS,99441,> 0,
DQ_GATE_01_STRUCTURAL,customers-SCHEMA,customers,schema_columns,CRITICAL,PASS,"['customer_id', 'customer_unique_id', 'customer_zip_code_prefix', 'customer_city', 'customer_state']","['customer_id', 'customer_unique_id', 'customer_zip_code_prefix', 'customer_city', 'customer_state']",
DQ_GATE_01_STRUCTURAL,customers-ORDER,customers,column_order,CRITICAL,PASS,expected order,expected order,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_id,customers,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_unique_id,customers,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_zip_code_prefix,customers,dtype,CRITICAL,PASS,int64,integer,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_city,customers,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,customers-TYPE-customer_state,customers,dtype,CRITICAL,PASS,object,string,
DQ_GATE_01_STRUCTURAL,customers-NULL-customer_id,customers,required_not_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,customers-PKNULL,customers,primary_key_null,CRITICAL,PASS,0,0,
DQ_GATE_01_STRUCTURAL,customers-PKUNIQUE,customers,primary_key_uniqueness,CRITICAL,PASS,0,0,customer_id
DQ_GATE_01_STRUCTURAL,customers-ROWDUP,customers,full_row_duplicates,CRITICAL,PASS,0,<= 0,
DQ_GATE_01_STRUCTURAL,geolocation-READ,geolocation,readability,CRITICAL,PASS,read successfully,read successfully,
DQ_GATE_01_STRUCTURAL,geolocation-ROWS,geolocation,non_empty,CRITICAL,PASS,1000163,> 0,
