path,source_sha256,line,node_type,target,string_values,expression
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,66,Assign,cost_cols,total_freight|freight_burden|distance_freight_weighted_km|total_weight_g|product_volume_sum_proxy_cm3|total_price,"['total_freight', 'freight_burden', 'distance_freight_weighted_km', 'total_weight_g', 'product_volume_sum_proxy_cm3', 'total_price']"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,174,Assign,features_f,log_distance|log_weight|log_volume|log_price|seller_item_count,"['log_distance', 'log_weight', 'log_volume', 'log_price', 'seller_item_count']"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,194,For,,,"for i in range(MIN_TRAIN_MONTHS, len(months)):
    train_months = months[:i]
    test_month = months[i]
    train_mask = rso['year_month'].isin(train_months) & rso['log_freight'].notna()
    test_mask = rso['year_month'].eq(test_month)
    if not train_mask.any() or not test_mask.any():
        continue
    X_train = rso.loc[train_mask, features_f]
    y_train = rso.loc[train_mask, 'log_freight']
    X_test = rso.loc[test_mask, features_f]
    baseline = float(y_train.median())
    rso.loc[test_mask, 'pred_log_f0'] = baseline
    train_complete = X_train.notna().all(axis=1)
    test_complete = X_test.notna().all(axis=1)
    if train_complete.sum() >= 100:
        f1 = LinearRegression()
        f1.fit(X_train.loc[train_complete], y_train.loc[train_complete])
        test_indices = X_test.index[test_complete]
        if len(test_indices):
            rso.loc[test_indices, 'pred_log_f1'] = f1.predict(X_test.loc[test_complete])
    f2 = HistGradientBoostingRegressor(max_iter=100, random_state=42)
    f2.fit(X_train, y_train)
    rso.loc[test_mask, 'pred_log_f2'] = f2.predict(X_test)
    folds.append({'test_month': test_month, 'train_start': train_months[0], 'train_end': train_months[-1], 'n_train': int(train_mask.sum()), 'n_test': int(test_mask.sum())})"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,509,Assign,speed_features,,"{'S0_Physical': ['log_distance', 'log_weight', 'log_volume', 'route_sellers_total', 'any_interstate_route'], 'S1_Cost': ['log_distance', 'log_weight', 'log_volume', 'route_sellers_total', 'any_interstate_route', 'log_freight', 'freight_burden'], 'S2_Anomalies': ['log_distance', 'log_weight', 'log_volume', 'route_sellers_total', 'any_interstate_route', 'log_freight', 'freight_burden', 'freight_residual_OOT'], 'S3A_Context_All': ['log_distance', 'log_weight', 'log_volume', 'route_sellers_total', 'any_interstate_route', 'log_freight', 'freight_burden', 'freight_residual_OOT', 'log_pop', 'log_gdp', 'truck_strike_2018'], 'S3B_ANP_Subset': ['log_distance', 'log_weight', 'log_volume', 'route_sellers_total', 'any_interstate_route', 'log_freight', 'freight_burden', 'freight_residual_OOT', 'log_pop', 'log_gdp', 'log_diesel', 'truck_strike_2018']}"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,627,For,,,"for model_name, features in speed_features.items():
    pred = pd.Series(np.nan, index=master.index, dtype=float)
    needed = features + ['actual_delivery_days', 'year_month']
    for i in range(MIN_TRAIN_MONTHS, len(speed_months)):
        train_months = speed_months[:i]
        test_month = speed_months[i]
        train = master[master['year_month'].isin(train_months)].dropna(subset=needed)
        test = master[master['year_month'].eq(test_month)].dropna(subset=needed)
        if len(train) < 100 or test.empty:
            continue
        model = LinearRegression()
        model.fit(train[features], train['actual_delivery_days'])
        pred.loc[test.index] = model.predict(test[features])
    valid = pred.notna() & master['actual_delivery_days'].notna()
    y = master.loc[valid, 'actual_delivery_days']
    p = pred.loc[valid]
    speed_oot_metrics.append({'model': model_name, 'n_oot': int(valid.sum()), 'mae_oot': mean_absolute_error(y, p) if len(y) else np.nan, 'median_ae_oot': median_absolute_error(y, p) if len(y) else np.nan, 'rmse_oot': root_mean_squared_error(y, p) if len(y) else np.nan, 'r2_oot': r2_score(y, p) if len(y) > 1 else np.nan})"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,734,Assign,rel_features,,"{'R_A_Observed': ['log_distance', 'log_weight', 'log_volume', 'route_sellers_total', 'any_interstate_route', 'freight_residual_OOT'], 'R_B_Promise_Adjusted': ['log_distance', 'log_weight', 'log_volume', 'route_sellers_total', 'any_interstate_route', 'freight_residual_OOT', 'promised_delivery_days']}"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,811,For,,,"for model_name, features in rel_features.items():
    pred = pd.Series(np.nan, index=master.index, dtype=float)
    needed = features + ['late_delivery_calendar_day', 'year_month']
    for i in range(MIN_TRAIN_MONTHS, len(speed_months)):
        train_months = speed_months[:i]
        test_month = speed_months[i]
        train = master[master['year_month'].isin(train_months)].dropna(subset=needed)
        test = master[master['year_month'].eq(test_month)].dropna(subset=needed)
        if len(train) < 200 or test.empty or train['late_delivery_calendar_day'].nunique() < 2:
            continue
        clf = make_pipeline(StandardScaler(), LogisticRegression(max_iter=1000, random_state=42))
        clf.fit(train[features], train['late_delivery_calendar_day'])
        pred.loc[test.index] = clf.predict_proba(test[features])[:, 1]
    valid = pred.notna() & master['late_delivery_calendar_day'].notna()
    y = master.loc[valid, 'late_delivery_calendar_day'].astype(int)
    p = pred.loc[valid]
    rel_oot_metrics.append({'model': model_name, 'n_oot': int(valid.sum()), 'base_rate': y.mean() if len(y) else np.nan, 'average_precision_oot': average_precision_score(y, p) if y.nunique() > 1 else np.nan, 'roc_auc_oot': roc_auc_score(y, p) if y.nunique() > 1 else np.nan, 'brier_oot': brier_score_loss(y, p) if len(y) else np.nan})"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,932,Assign,features_cluster,,speed_features['S3A_Context_All']
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,103,Call,,,"pd.DataFrame(desc).to_csv(REP / '06_cost_descriptive.csv', index=False)"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,108,Call,,,master[cost_cols].corr(method='pearson').to_csv(REP / '07a_cost_pearson.csv')
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,114,Call,,,master[cost_cols].corr(method='spearman').to_csv(REP / '07b_cost_spearman.csv')
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,214,If,,,"if not train_mask.any() or not test_mask.any():
    continue"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,253,If,,,"if train_complete.sum() >= 100:
    f1 = LinearRegression()
    f1.fit(X_train.loc[train_complete], y_train.loc[train_complete])
    test_indices = X_test.index[test_complete]
    if len(test_indices):
        rso.loc[test_indices, 'pred_log_f1'] = f1.predict(X_test.loc[test_complete])"
src/spatiotemporal_logistics/04_run_four_analyses.py,5bf364db8ab55cc91989c7976c399ba49a191930c4d23eb168496c34d6e187f9,281,Assign,f2,,"HistGradientBoostingRegressor(max_iter=100, random_state=42)"
